survey_number,point_lon,point_lat,own_cell_lon,own_cell_lat,own_deg_distance,closest_file_survey_number,closest_deg_distance,pass_fail
120711150,-12.773567,35.902733,-12.775003433227539,35.92500305175781,0.02231632912718586,120711150,0.02231632912718586,PASS
120712150,-9.39709829,38.60414886,-9.375003814697266,38.625003814697266,0.03038247808076481,120712150,0.03038247808076481,PASS
120714150,-9.15823409,38.6941875,-9.175004005432129,38.67500305175781,0.025480838250685547,120714150,0.025480838250685547,PASS
230819150,-12.34186333,38.37919333,-12.325003623962402,38.375003814697266,0.017372441571232668,230819150,0.017372441571232668,PASS
230822150,-25.66109569,37.70263931,-25.675003051757812,37.72500228881836,0.026334721048324496,230822150,0.026334721048324496,PASS
230910150,-21.68666667,35.28414667,-21.675003051757812,35.275001525878906,0.014821391685496114,230910150,0.014821391685496114,PASS
230916151,-20.776115,37.50702667,-20.77500343322754,37.525001525878906,0.01800919277916229,230916151,0.01800919277916229,PASS
230919151,-9.03171,40.68566667,-9.025003433227539,40.67500305175781,0.012597253347008435,230919151,0.012597253347008435,PASS
230923151,-11.77504333,40.75758167,-11.775003433227539,40.77500534057617,0.017423716253985384,230923151,0.017423716253985384,PASS
230925150,-18.07592581,33.16673295,-18.07500457763672,33.17500305175781,0.00832125303976446,230925150,0.00832125303976446,PASS
230928251,-26.86686001,38.59620368,-26.875003814697266,38.57500457763672,0.0227095463617396,230928251,0.0227095463617396,PASS
230930150,-9.80555959,38.55056603,-9.825003623962402,38.57500457763672,0.03123000267888604,230930150,0.03123000267888604,PASS
231007150,-28.57760116,38.54393455,-28.57500457763672,38.52500534057617,0.019106470353798026,231007150,0.019106470353798026,PASS
231008151,-17.85029,39.975825,-17.875003814697266,39.97500228881836,0.024727504738228746,231008151,0.024727504738228746,PASS
231009150,-19.58003964,34.32296972,-19.57500457763672,34.32500457763672,0.005430699642199396,231009150,0.005430699642199396,PASS
231010151,-27.02039667,38.716905,-27.02500343322754,38.72500228881836,0.00931602670898988,231010151,0.00931602670898988,PASS
231017150,-24.73733531,36.9141769,-24.725004196166992,36.92500305175781,0.016409202608462018,231017150,0.016409202608462018,PASS
231021151,-13.37467,40.59915667,-13.375003814697266,40.57500457763672,0.02415439913921558,231021151,0.02415439913921558,PASS
231024150,-14.7432034,34.25528494,-14.725003242492676,34.275001525878906,0.02683261992447885,231024150,0.02683261992447885,PASS
240727157,-9.779825,38.79406167,-9.775003433227539,38.77500534057617,0.019656835891123492,240727157,0.019656835891123492,PASS
