map_index,survey_number,lon,lat,tile_lon_center,tile_lat_center,tile_lon_min,tile_lat_min,tile_lon_max,tile_lat_max,min_lon,min_lat,max_lon,max_lat,method
1,120711150,-12.773567,35.902733,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
2,120712150,-9.39709829,38.60414886,-9.375003814697266,38.625003814697266,-9.400003433227539,38.600006103515625,-9.350004196166992,38.650001525878906,-9.39709829,38.60414886,-9.12850258,38.70137622,1D
3,120714150,-9.15823409,38.6941875,-9.175004005432129,38.67500305175781,-9.200003623962402,38.650001525878906,-9.150003433227539,38.70000457763672,-9.38898632,38.61252426,-9.15823409,38.6941875,1D
4,230819150,-12.34186333,38.37919333,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
5,230822150,-25.66109569,37.70263931,-25.675003051757812,37.72500228881836,-25.700002670288086,37.70000457763672,-25.65000343322754,37.75000190734863,-25.66109569,37.70263931,-25.66109569,37.70263931,1D
6,230910150,-21.68666667,35.28414667,-21.675003051757812,35.275001525878906,-21.70000457763672,35.25,-21.65000343322754,35.30000305175781,-21.94186359,33.85061991,-19.2182884,35.43577169,1D
7,230916151,-20.776115,37.50702667,-20.77500343322754,37.525001525878906,-20.800003051757812,37.5,-20.75000286102295,37.55000305175781,-22.14767302,37.50702667,-20.776115,37.6746,1D
8,230919151,-9.03171,40.68566667,-9.025003433227539,40.67500305175781,-9.050003051757812,40.650001525878906,-9.000003814697266,40.70000457763672,-9.44038093,40.02521723,-8.71019398,41.15647375,1D
9,230923151,-11.77504333,40.75758167,-11.775003433227539,40.77500534057617,-11.800003051757812,40.750003814697266,-11.750003814697266,40.80000305175781,-14.98872667,40.34270667,-11.06882415,40.84246522,1D
10,230925150,-18.07592581,33.16673295,-18.07500457763672,33.17500305175781,-18.100004196166992,33.150001525878906,-18.050003051757812,33.20000457763672,-18.33203738,32.57804545,-16.67909473,33.32042317,1D
11,230928251,-26.86686001,38.59620368,-26.875003814697266,38.57500457763672,-26.90000343322754,38.55000305175781,-26.850004196166992,38.600006103515625,-26.86686001,38.15483263,-26.29430826,38.59620368,1D
12,230930150,-9.80555959,38.55056603,-9.825003623962402,38.57500457763672,-9.850004196166992,38.55000305175781,-9.800003051757812,38.60000419616699,-11.2869398,38.4423264,-9.62866905,38.57323502,1D
13,231007150,-28.57760116,38.54393455,-28.57500457763672,38.52500534057617,-28.600004196166992,38.5000057220459,-28.550003051757812,38.55000305175781,-28.57760116,38.54393455,-28.5368587,38.63717063,1D
14,231008151,-17.85029,39.975825,-17.875003814697266,39.97500228881836,-17.90000343322754,39.95000076293945,-17.850004196166992,40.000003814697266,-17.85029,39.975825,-16.03872902,40.21820528,1D
15,231009150,-19.58003964,34.32296972,-19.57500457763672,34.32500457763672,-19.600004196166992,34.30000305175781,-19.550003051757812,34.350006103515625,-22.26080075,34.191935,-19.33124719,35.6145396,1D
16,231010151,-27.02039667,38.716905,-27.02500343322754,38.72500228881836,-27.050003051757812,38.70000457763672,-27.000003814697266,38.75000190734863,-27.02039667,38.56181,-26.819165,38.716905,1D
17,231017150,-24.73733531,36.9141769,-24.725004196166992,36.92500305175781,-24.750003814697266,36.900001525878906,-24.70000457763672,36.95000457763672,-25.48543085,36.39980107,-24.1110536,37.57936892,1D
18,231021151,-13.37467,40.59915667,-13.375003814697266,40.57500457763672,-13.400003910064697,40.550004959106445,-13.350004196166992,40.600006103515625,-13.37467,40.59915667,-13.10463981,40.63560936,1D
19,231024150,-14.7432034,34.25528494,-14.725003242492676,34.275001525878906,-14.750003814697266,34.25,-14.700003623962402,34.30000305175781,-14.80837532,34.20366191,-13.27929767,35.4836922,1D
20,240727157,-9.779825,38.79406167,-9.775003433227539,38.77500534057617,-9.800003051757812,38.750003814697266,-9.750003814697266,38.80000305175781,-9.779825,38.7618262,-9.63605207,38.82369701,1D
